timestamp,demand,PV_norm,nuclear_norm,onshore_wind_norm,offshore_wind_norm
04/01/2017 00:00,30914.58333,0,0.883333333,0.496401953,0.885702402
04/01/2017 01:00,30971,0,0.883333333,0.482747478,0.876670263
04/01/2017 02:00,30328.83333,0,0.883333333,0.484194951,0.874337346
04/01/2017 03:00,30389.16667,0,0.883333333,0.452990917,0.850103628
04/01/2017 04:00,29880,0,0.883333333,0.439619423,0.817458975
04/01/2017 05:00,30373,0,0.883333333,0.420662143,0.771117767
04/01/2017 06:00,33266.75,0,0.883333333,0.389224004,0.791579411
04/01/2017 07:00,39396,0,0.883333333,0.369381018,0.798494975
04/01/2017 08:00,42626,0.000250784,0.883333333,0.347120576,0.728176992
04/01/2017 09:00,44038.66667,0.009639498,0.883333333,0.329708785,0.659595991
04/01/2017 10:00,44297.08333,0.041248694,0.883333333,0.312249533,0.546837772
04/01/2017 11:00,44348.08333,0.092208725,0.883333333,0.28143667,0.52654165
04/01/2017 12:00,44527.25,0.128853187,0.883333333,0.27593301,0.514535518
04/01/2017 13:00,44360.75,0.151123302,0.883333333,0.249182522,0.535605871
04/01/2017 14:00,44494.25,0.126240857,0.883333333,0.222660265,0.535140821
04/01/2017 15:00,45205.91667,0.072518286,0.883333333,0.195359653,0.538848447
04/01/2017 16:00,47407.75,0.017270115,0.883333333,0.175084485,0.541315371
04/01/2017 17:00,49624.33333,0.000663532,0.883333333,0.161403159,0.543279484
04/01/2017 18:00,49503.25,0,0.883333333,0.13798562,0.538097496
04/01/2017 19:00,48399.58333,0,0.883333333,0.11662709,0.531757424
04/01/2017 20:00,46382.75,0,0.883333333,0.104310325,0.481193288
04/01/2017 21:00,42670.41667,0,0.883333333,0.092620828,0.446884334
04/01/2017 22:00,38074.33333,0,0.883333333,0.084228514,0.415981773
04/01/2017 23:00,33546.33333,0,0.883333333,0.074105588,0.417877747
05/01/2017 00:00,32562.25,0,0.883333333,0.065510268,0.399448924
05/01/2017 01:00,32905.58333,0,0.883333333,0.062885087,0.347324967
05/01/2017 02:00,32423.25,0,0.883333333,0.058510572,0.34326756
05/01/2017 03:00,32012.75,0,0.883333333,0.05931022,0.308131282
05/01/2017 04:00,31494.16667,0,0.883333333,0.063969499,0.263783147
05/01/2017 05:00,32985.66667,0,0.883333333,0.067603365,0.213126455
05/01/2017 06:00,36665.66667,0,0.883333333,0.074911634,0.187575095
05/01/2017 07:00,43130.66667,0,0.883333333,0.087095247,0.201838908
05/01/2017 08:00,45799.41667,0.001136507,0.883333333,0.109545059,0.176845438
05/01/2017 09:00,46653.08333,0.036445272,0.883333333,0.130314342,0.149577537
05/01/2017 10:00,45945.33333,0.148249739,0.883333333,0.142475981,0.119127818
05/01/2017 11:00,45001.83333,0.256530825,0.883333333,0.161220448,0.131066947
05/01/2017 12:00,44612.91667,0.306230408,0.883333333,0.17310262,0.116291238
05/01/2017 13:00,44585.58333,0.301985371,0.883333333,0.181182427,0.105257793
05/01/2017 14:00,44578,0.244252874,0.883333333,0.197148371,0.102678724
05/01/2017 15:00,44578,0.13765674,0.883333333,0.216688658,0.10203282
